row_index_1,row_index_2,name_company_1,name_company_2,address_1,address_2,city_1,city_2,state_1,state_2,country_1,country_2,continent_1,continent_2,is_match
14082,3108,SOFTWARE BRAIN LTD,FOOD COMPLIANT ENGINEERING LTD,"20-22 Wenlock Road, London, England, N1 7GU","20-22 Wenlock Road, London, N1 7GU",,,,,,,,,1
14336,5817,Tokyo Electron Ltd,Hakuhodo DY Holdings Inc,"Akasaka Biz Tower, 3-1, Akasaka 5-Chome, Minato-Ku, Tokyo, 107-6325","Akasaka Biz Tower, 5-3-1, Akasaka, Minato-Ku, Tokyo, 107-6320",,,,,,,,,1
14415,10598,S A DESIGN CONSULTANTS LTD,BEAUTY & CARE BOUTIQUE & SPA LIMITED,"72 Cardigan Street, Luton, Bedfordshire, United Kingdom, LU1 1RR","72 Cardigan Street, Luton, England, LU1 1RR",,,,,,,,,1
14844,8360,SOFTWARE CRAFT AND TESTING UK CIC,H A MURPHY ADMINISTRATIVE SERVICES LTD,"Union House, 111 New Union Street, Coventry, England, CV1 2NT","Union House, 111 New Union Street, Coventry, West Midlands, United Kingdom, CV1 2NT",,,,,,,,,1
15110,4958,Agora' Network Soc Cons.rl,Bolton Group Srl,"VIA GIOVANNI BATTISTA PERGOLESI 25, MILANO, 20124, MILANO, ITALY","VIA GIOVANNI BATTISTA PIRELLI 19, MILANO, 20124, MILANO, ITALY",,,,,IT13211090157,IT05983890152,,,1
15543,2371,Ducati Motor Holding Spa,Ludo Spa,"VIA ANTONIO CAVALIERI DUCATI 3, BOLOGNA, 40132, BOLOGNA, ITALY","VIA ANTONIO FOGAZZARO 28, MILANO, 20135, MILANO, ITALY",,,,,IT05113870967,IT08566460963,,,1
15937,2122,GOOD BOY GROUP LTD,H & B DRAINAGE CONTRACTORS LIMITED,"Suite 30 Cornwallis House, Howard Chase, Basildon, Essex, England, SS14 3BB","Suite 30 Cornwallis House, Howard Chase, Basildon, Essex, United Kingdom, SS14 3BB",,,,,,,,,1
15959,4665,Comet Spa,Conad Consorzio Nazionale Dettaglianti Soc Coop,"VIA MICHELINO 105, BOLOGNA, 40127, BOLOGNA, ITALY","VIA MICHELINO 59, BOLOGNA, 40127, BOLOGNA, ITALY",,,,,IT02108091204,IT03320960374,,,1
16339,7209,NEW AGE REBEL LTD,Z & Z BROTHERS IT SOLUTIONS LTD,"86-90 Paul Street, London, England, EC2A 4NE","86-90 Paul Street, London, England, United Kingdom, EC2A 4NE",,,,,,,,,1
16339,8900,NEW AGE REBEL LTD,Q AND QUAINT LIMITED,"86-90 Paul Street, London, England, EC2A 4NE","86-90 Paul Street, London, England, United Kingdom, EC2A 4NE",,,,,,,,,1
