id,name,rank,market_cap,country,share_price,change_1_day,change_1_year,categories
828c46bc0ef14bddbf0d6e6b9bb21ee5,Hdfc Bank,98,$126.75 B,India,$68.20,-1.94%,1.55%,"['Banks', 'Financial services']"
2f317a579f884fb8aeff4135f77df9ed,Elevance Health,99,$125.66 B,USA,$523.60,-0.07%,30.99%,"['Healthcare', 'Insurance']"
1b971bf5e9c743ab8b920e100eb1fad8,Goldman Sachs,97,$128.87 B,USA,$380.58,-0.84%,-1.80%,"['Banks', 'Dow jones', 'Financial services']"
c4fe2678ef78469b81058901844d5db0,Petrochina,96,$129.63 B,China,$0.74,0.19%,-3.90%,"['Oil&Gas', 'Energy']"
53ab8584323b4f4991eba7f5ab1eda7c,Lockheed Martin,94,$130.04 B,USA,$496.23,2.59%,50.13%,"['Aerospace', 'Defense contractors', 'Aircraft manufacturers', 'Manufacturing']"
24d24c91007f4f22a49aa37faa86e637,Lowe's Companies,95,$129.91 B,USA,$214.84,-0.30%,-14.20%,['Retail']
504d94ab87904af0b166f4349602f7e1,Prosus,92,$131.50 B,Netherlands,$65.60,0.57%,-19.84%,['Investment']
c67985966ee84f548583cbcf0abccdce,Unilever,93,$131.15 B,UK,$51.50,0.68%,0.12%,"['Food', 'Consumer goods']"
59c505e4dfb2443fa5119a9d6601e943,Union Pacific Corporation,91,$132.01 B,USA,$214.73,-0.56%,-10.56%,"['Railways', 'Transportation', 'Infrastructure']"
e4ae220c64874755b725da37ed8a9d18,Ibm,90,$133.25 B,USA,$148.67,-0.33%,27.18%,"['Tech', 'Software', 'Dow jones']"
e079a8a85061498185bd499aea712e6b,Meituan,88,$133.48 B,China,$21.57,3.07%,-32.17%,"['Internet', 'Tech', 'E-Commerce']"
3d07f0b027e149cab13b207ee534f730,Sap,89,$133.26 B,Germany,$112.03,0.02%,-13.94%,"['Tech', 'Software', 'DAX']"
4587a4d131f64cbfbee6175595316dba,Cvs Health,86,$134.78 B,USA,$102.58,0.91%,13.99%,"['Healthcare', 'Pharmaceuticals', 'Drugstore', 'Retail']"
a22ee004731f4c4eb110a7df59c5835d,Deere & Company,87,$134.49 B,USA,$445.61,0.86%,27.09%,"['Machinery manufacturing', 'Manufacturing']"
e27d34b0c4a64e08add3e10f95bacc90,Dior,84,$135.84 B,France,$751.90,-0.14%,-1.01%,"['Luxury goods', 'Clothing']"
2774f4861a5d49bc88cf208f69b31fe8,At&t,85,$135.55 B,USA,$19.02,-0.89%,-17.48%,['Telecommunication']
3ac276c0a1064ccc9ae535dddaf2035f,Royal Bank Of Canada,82,$139.63 B,Canada,$99.64,-0.62%,-0.46%,"['Banks', 'Financial services']"
fcb4f0e34fb9409cb6dcd83c4820a1e0,Catl,83,$136.36 B,China,$55.83,-0.85%,-48.33%,"['Batteries', 'Electricity']"
31b095eee3754b8e9bd771552949f377,Qualcomm,80,$140.86 B,USA,$125.66,-0.91%,-29.02%,"['Tech', 'Semiconductors', 'Tech Hardware']"
af9ea55a755241a28c210599e8fb8413,Netflix,79,$142.58 B,USA,$320.41,1.09%,-48.03%,"['Entertainment', 'Internet', 'Tech']"
e8ba1937191b411c96e7dc92c0f590bb,Agricultural Bank Of China,81,$140.40 B,China,$0.41,0.00%,-10.87%,"['Banks', 'Financial services']"
313770afeba944efb856b1a22cb98b80,Salesforce,78,$144.55 B,USA,$144.56,-1.66%,-44.66%,"['Software', 'Dow jones', 'Tech']"
ac5cff80dc9a48289623edfda89c65a1,Honeywell,77,$147.29 B,USA,$219.08,0.78%,7.39%,"['Dow jones', 'Aerospace', 'Defense contractors']"
9ff9e037b94a4839ba386254dcb53f3d,Raytheon Technologies,76,$148.49 B,USA,$101.01,1.52%,23.70%,"['Aerospace', 'Defense contractors']"
63107809b6f748a8b7ff8b60a6fd5c85,China Mobile,75,$149.18 B,China,$6.59,-0.29%,10.02%,['Telecommunication']
e0ab4205f2284f4b80d2ba414b2eded0,Totalenergies,74,$151.61 B,France,$60.61,-0.09%,26.01%,"['Oil&Gas', 'Energy', 'CAC 40']"
d64d7d7889fb43b8a71ade913aeceefa,Conocophillips,73,$152.24 B,USA,$122.18,-0.72%,71.46%,"['Oil&Gas', 'Energy']"
09036f0a1eeb4c41a3a12ba11853ec4d,China Construction Bank,71,$153.33 B,China,$0.78,-0.55%,-14.29%,"['Banks', 'Financial services']"
2a649142b8e14ba5aef034bbddfc9dd6,Amgen,72,$152.34 B,USA,$285.51,-0.15%,41.92%,"['Pharmaceuticals', 'Dow jones', 'Biotech']"
a832a2b92d184478a716eca15d25a5ee,Tata Consultancy Services,69,$154.57 B,India,$42.24,-1.05%,-13.01%,"['IT services', 'Professional services']"
dd2cc766d4e4436aba88c3ff4ca124db,Charles Schwab,70,$153.93 B,USA,$82.46,0.89%,2.92%,"['Financial services', 'Banks']"
d18a6febba9d40c789c00762c050abad,Adobe,66,$158.77 B,USA,$341.53,-0.75%,-49.17%,"['Software', 'Tech']"
2957d6eaadb246419b45b0c7ca9f5ca0,Comcast,68,$155.03 B,USA,$35.86,-1.16%,-30.37%,"['Telecommunication', 'Media/Press', 'Entertainment']"
9536df3806fa49b3809b4a571813be93,Morgan Stanley,67,$155.65 B,USA,$92.10,-0.97%,-6.84%,"['Banks', 'Financial services', 'Investment']"
65cb00a2721147de936db92822dc3245,Bhp Group,64,$160.50 B,Australia,$63.43,0.65%,10.01%,['Mining']
ff708fb9839e44c2873d2be0a3327737,Verizon,65,$160.34 B,USA,$38.18,-0.39%,-24.74%,"['Telecommunication', 'Dow jones']"
0dcc277aaf3a46d0be0cfb02e69d67d4,Texas Instruments,63,$161.23 B,USA,$177.66,0.09%,-8.22%,"['Semiconductors', 'Tech', 'Tech Hardware']"
f54ac39c376e475c82fa43208c387252,Philip Morris,62,$161.68 B,USA,$104.30,1.80%,18.74%,['Tobacco']
13e7cf6d8fdd467cb07aa5f138147c68,Linde,60,$166.77 B,UK,$337.35,0.03%,4.12%,"['DAX', 'Chemicals']"
d5929d29cceb459fa6961600e55cbf6a,United Parcel Service,61,$163.80 B,USA,$189.39,-0.42%,-5.26%,"['Courier', 'Transportation']"
c71afd79557a4669acb7b81eaf1d3eea,Hermès,59,$167.38 B,France,"$1,601",-0.78%,-12.52%,"['Luxury goods', 'CAC 40']"
7c589e42f8d04b9eb4490e7644793ab7,Nextera Energy,58,$169.30 B,USA,$85.20,0.44%,-3.86%,"['Energy', 'Electricity', 'Utility companies', 'Renewable energy']"
4d7b67d3abb14b289cf6af24ff60949e,Volkswagen,153,$87.16 B,Germany,$146.40,-0.26%,-22.35%,"['Automakers', 'DAX', 'Manufacturing']"
b0629adb9d1f4148a311ca7c2241bcb9,Cm Bank,101,$123.17 B,China,$4.94,-1.41%,-39.24%,"['Banks', 'Financial services']"
d14c51acb1cd4ba8a4218ded01b3d36f,Glencore,151,$88.10 B,Switzerland,$6.84,0.37%,45.53%,"['Mining', 'Coal Mining', 'Energy']"
04dacb35a2534709ab10b292fb1a7748,Canadian National Railway,152,$87.19 B,Canada,$127.83,-0.49%,-0.90%,"['Railways', 'Transportation']"
4c1dd22b8e8e41739c5f0c9cf0a561e5,Wuliangye Yibin,150,$90.17 B,China,$23.23,-0.93%,-33.59%,"['Beverages', 'Alcoholic beverages']"
52ae367230d243f49eaa38f9a0607db7,Chubb,149,$90.96 B,Switzerland,$219.16,0.38%,20.18%,['Insurance']
8e5a43d99bdc4ec89c9853b47dc7b17d,Applied Materials,147,$91.80 B,USA,$106.71,-0.28%,-27.16%,"['Semiconductors', 'Tech', 'Tech Hardware']"
71a078084a87433687799c1f96b82b88,Citigroup,148,$91.49 B,USA,$47.24,-1.13%,-25.97%,"['Banks', 'Financial services']"
cb24f58da8cb4488918a059260c8a03e,Stryker Corporation,146,$92.00 B,USA,$243.11,0.97%,-1.73%,['Medical devices']
317f5da30d214e5faefa9ae6148a83eb,Mondelez,143,$93.28 B,USA,$68.31,0.32%,14.88%,['Food']
8f6aa8575c424896ad38b5114fc9e8c9,Tjx Companies,144,$93.10 B,USA,$80.19,0.56%,14.15%,"['Retail', 'Clothing']"
f6399e4db6a648eebc33074ab17d1e42,Airbus,145,$92.04 B,Netherlands,$116.87,0.76%,2.12%,"['Aircraft manufacturers', 'Aerospace', 'CAC 40', 'Manufacturing', 'DAX']"
7be03e18f11f4174a8530bf791621ad3,General Electric,141,$94.93 B,USA,$86.88,1.90%,-8.77%,['Conglomerate']
da9ead96b2594fb4a4df6bbe523318aa,Ntt (nippon Telegraph & Telephone),142,$94.57 B,Japan,$27.25,-2.15%,0.37%,['Telecommunication']
c6d5425af4c244ac908e95c0b741bd54,British American Tobacco,140,$94.99 B,UK,$42.31,0.98%,24.44%,['Tobacco']
4fa5ccf3f83d4717a13d26a64c302fb9,Byd,139,$95.45 B,China,$37.34,-1.72%,-23.01%,"['Automakers', 'Manufacturing']"
1a81811a88ca49788e2ee65f09c19dc9,Csl,137,$98.93 B,Australia,$205.17,1.08%,-4.66%,"['Biotech', 'Pharmaceuticals']"
a54a67a801134aa78d74bc49ff62b1a0,Intuitive Surgical,138,$96.20 B,USA,$272.25,-0.82%,-16.82%,['Medical devices']
0eb2b5b33b894426a1c7cdbe50a93cc8,American Tower,135,$102.13 B,USA,$219.37,-0.87%,-17.60%,"['Telecommunication', 'Real estate', 'REITs', 'Infrastructure']"
393c68134e6542a6ba444f509ec633f5,Cigna,136,$100.03 B,USA,$327.20,1.16%,65.43%,['Insurance']
ac0967f697684ae0952db5e2a8a09bbf,Porsche,134,$102.65 B,Germany,$112.68,-0.60%,,"['Automakers', 'Manufacturing']"
396122961afd49c697e0d6a8c28b62ce,Keyence,133,$102.68 B,Japan,$423.40,-2.64%,-32.65%,"['Tech Hardware', 'Tech', 'Scientific & Technical Instruments']"
b34a69e2e89547858f02536c726906eb,Sony,131,$103.02 B,Japan,$82.79,-1.37%,-31.10%,"['Video games', 'Electronics', 'Tech', 'Entertainment', 'Tech Hardware']"
bcc62802d1ed4f23a2cbd24a04001523,Deutsche Telekom,132,$102.87 B,Germany,$20.69,-0.11%,17.29%,"['Telecommunication', 'DAX']"
bc368c69cf19435aaa6f9320e4d6cbdb,Medtronic,128,$105.90 B,Ireland,$79.62,0.47%,-25.78%,['Medical devices']
c8d0699b9b86404cbc10780a4b5a38d3,Lg Energy Solution,130,$105.29 B,South Korea,$449.97,-0.17%,,"['Batteries', 'Electricity', 'Energy']"
