id,left_row_index,right_row_index,left_name_company,right_name_company,left_industryname,right_industryname,left_sector,right_sector,left_address,right_address,left_city,right_city,left_state,right_state,left_country,right_country,left_continent,right_continent,left_other,right_other
54696,54696,49039,NEW AGE GLASS LIMITED,NEW AGE GAMES LIMITED,,,,,,,,,,,,,,,,
54703,54703,11099,Brother Industries Ltd,Brother Industries,,,,,,,,,,,,,,,,
54705,54705,33067,Minerva SA,Minerva,,,,,,,,,,,,,,,,
54707,54707,43782,Man Wah Holdings Ltd,Man Wah Holdings,,,,,,,,,,,,,,,,
54713,54713,34048,Celulosa Argentina SA,Celulosa Argentina,,,,,,,,,,,,,,,,
54717,54717,34454,BEAUTY AND THE BLOG LTD,BEAUTY AND THE BLEACH LTD,,,,,,,,,,,,,,,,
54718,54718,40718,Bureau Veritas SA,Bureau Veritas,,,,,,,,,,,,,,,,
54728,54728,48546,Taylor Wimpey plc,Taylor Wimpey Plc,,,,,,,,,,,,,,,,
54733,54733,43865,State Street Corporation,State Street Corp,,,,,,,,,,,,,,,,
54748,54748,9841,APOEL V.C.,APOEL FC,,,,,,,,,,,,,,,,
54753,54753,4812,Telephone and Data Systems Inc,Telephone And Data Systems,,,,,,,,,,,,,,,,
54755,54755,33600,Fundo de Investimento Imobiliário - FII Floripa Shopping,Fundo de Investimento Imobiliário - FII Anhanguera Educacional,,,,,,,,,,,,,,,,
54767,54767,38018,Shenzhen Kaifa Technology Co Ltd,Shenzhen Kaifa Technology,,,,,,,,,,,,,,,,
54768,54768,50521,Thai Oil Public Company Ltd,Thai Oil Public Company,,,,,,,,,,,,,,,,
54774,54774,18869,Krungthai Card Public Company Ltd,Krungthai Card Public Company,,,,,,,,,,,,,,,,
54782,54782,2699,Patra Corporation Careers,Patra Corporation,,,,,,,,,,,,,,,,
54785,54785,3278,Shionogi & Co. Ltd,Shionogi & Co Ltd,,,,,,,,,,,,,,,,
54791,54791,38108,"The Navigator Company, S.a.",The Navigator Company,,,,,,,,,,,,,,,,
54797,54797,49340,Hankook Tire & Technology Co Ltd,Hankook Tire & Technology,,,,,,,,,,,,,,,,
