id,left_row_index,right_row_index,left_name_company,right_name_company,left_industryname,right_industryname,left_sector,right_sector,left_address,right_address,left_city,right_city,left_state,right_state,left_country,right_country,left_continent,right_continent,left_other,right_other
12690,12690,3748,CO.NET,COFARIM,,,,,,,,,,,,,,,https://www.conet24.com/,https://www.cookut.com
12763,12763,1500,"Boston Properties, Inc.",Boston Scientific Corporation,,,,,,,,,,,,,,,https://disfold.com/company/boston-properties-inc/,https://disfold.com/company/boston-scientific-corporation/
12798,12798,2392,Enervit S.p.A.,Eneva SA,,,,,,,,,,,,,,,https://disfold.com/company/enervit-spa/,https://disfold.com/company/eneva-sa/
12841,12841,2431,Global Payments Inc.,Global Ports Holding plc,,,,,,,,,,,,,,,https://disfold.com/company/global-payments-inc/,https://disfold.com/company/global-ports-holding-plc/
12953,12953,1171,Omnicell Inc,Omnicom Group Inc,,,,,,,,,,,,,,,www.omnicell.com,www.omnicomgroup.com
12968,12968,7446,Interglobe Aviation Ltd,Interim Search,,,,,,,,,,,,,,,www.interglobe.com,https://www.interimsearch.com
12999,12999,10206,Thai Rubber Latex Group Public Company Ltd,Thai Solar Energy Public Company Ltd,,,,,,,,,,,,,,,https://disfold.com/company/thai-rubber-latex-group-public-company-ltd/,https://disfold.com/company/thai-solar-energy-public-company-ltd/
13045,13045,3542,"American National Group, Inc.",American Pacific Borates Limited,,,,,,,,,,,,,,,https://disfold.com/company/american-national-group-inc/,https://disfold.com/company/american-pacific-borates-limited/
13127,13127,6604,Beijing Jingyuntong Technology Co. Ltd,Beijing Kunlun Tech Co. Ltd,,,,,,,,,,,,,,,https://disfold.com/company/beijing-jingyuntong-technology-co-ltd/,https://disfold.com/company/beijing-kunlun-tech-co-ltd/
13130,13130,11832,Compass Group Plc,Compass Minerals International Inc,,,,,,,,,,,,,,,www.compass-group.com/en/index.html,www.compassminerals.com
13133,13133,8512,Bangkok Dusit Medical Services Public Company Ltd,Bangkok Insurance Public Company Ltd,,,,,,,,,,,,,,,https://disfold.com/company/bangkok-dusit-medical-services-public-company-ltd/,https://disfold.com/company/bangkok-insurance-public-company-ltd/
13141,13141,12780,Hindustan Petroleum Corp Ltd,Hindustan Zinc Ltd,,,,,,,,,,,,,,,www.hindustanpetroleum.com,www.hzlindia.com
13161,13161,13127,Beijing Jingneng Clean Energy Co. Ltd,Beijing Jingyuntong Technology Co. Ltd,,,,,,,,,,,,,,,https://disfold.com/company/beijing-jingneng-clean-energy-co-ltd/,https://disfold.com/company/beijing-jingyuntong-technology-co-ltd/
13187,13187,3537,Scalia Group,ScanSource Inc,,,,,,,,,,,,,,,https://www.scaliagroup.com/,www.scansource.com
13210,13210,2999,Qatar Insurance Company QSPC,Qatar National Bank,,,,,,,,,,,,,,,www.qatarinsurance.com,www.qnb.com
13217,13217,10595,Gerresheimer AG,Gesco AG,,,,,,,,,,,,,,,https://disfold.com/company/gerresheimer-ag/,https://disfold.com/company/gesco-ag/
13241,13241,9631,Partner Communications Co Ltd,PartnerRe Ltd.,,,,,,,,,,,,,,,www.partner.co.il,partnerre.com
13306,13306,9348,Beijing Xinleineng Technology Co. Ltd,"Beijing eGOVA Co,. Ltd",,,,,,,,,,,,,,,https://disfold.com/company/beijing-xinleineng-technology-co-ltd/,https://disfold.com/company/beijing-egova-co-ltd/
13332,13332,9763,Firstcash Holdings Inc,Fiserv Careers,,,,,,,,,,,,,,,www.firstcash.com,www.fiserv.com
13396,13396,10644,Unidata S.p.A.,Unieuro S.p.A.,,,,,,,,,,,,,,,https://disfold.com/company/unidata-spa/,https://disfold.com/company/unieuro-spa/
13415,13415,11984,Le Hibou,Le Petit Vapoteur,,,,,,,,,,,,,,,https://www.lehibou.com,https://www.lepetitvapoteur.com/
13430,13430,10789,Empresa Eléctrica de Magallanes SA,Empresa Nacional de Telecomunicaciones SA,,,,,,,,,,,,,,,https://disfold.com/company/empresa-electrica-de-magallanes-sa/,https://disfold.com/company/empresa-nacional-de-telecomunicaciones-sa/
13437,13437,12153,National HealthCare Corp,National Instruments Corp,,,,,,,,,,,,,,,nhccare.com,www.ni.com
13441,13441,12154,Crep Protect,Crescent Point Energy Corp,,,,,,,,,,,,,,,https://www.crepprotect.com,www.crescentpointenergy.com
13499,13499,7773,Take-Two Interactive Software Inc,Takeda Pharmaceutical Co Ltd,,,,,,,,,,,,,,,www.take2games.com,www.takeda.com
13539,13539,5328,Nikkiso Co. Ltd,Nikkon Holdings Co. Ltd,,,,,,,,,,,,,,,https://disfold.com/company ikkiso-co-ltd/,https://disfold.com/company ikkon-holdings-co-ltd/
13571,13571,6888,Beijing Capital Development Co. Ltd,Beijing Compass Technology Development Co. Ltd,,,,,,,,,,,,,,,https://disfold.com/company/beijing-capital-development-co-ltd/,https://disfold.com/company/beijing-compass-technology-development-co-ltd/
13626,13626,6502,PicoCandy Careers,Picodi.com,,,,,,,,,,,,,,,picocandy.com,https://www.picodi.com/
13649,13649,7707,Al-Omran Industrial Trading Co.,Al-Samaani Factory For Metal Industries Co.,,,,,,,,,,,,,,,https://disfold.com/company/al-omran-industrial-trading-co/,https://disfold.com/company/al-samaani-factory-for-metal-industries-co/
13677,13677,9784,Seach Medical Group Ltd,Seafarms Group Limited,,,,,,,,,,,,,,,https://disfold.com/company/seach-medical-group-ltd/,https://disfold.com/company/seafarms-group-limited/
13706,13706,8475,RTL Group SA,RUAG International Holding AG,,,,,,,,,,,,,,,www.rtlgroup.com,www.ruag.com
13708,13708,6838,Veralogiq Careers,Verbund AG,,,,,,,,,,,,,,,www.veralogiq.com,www.verbund.com
13724,13724,13188,Sonic Automotive Inc,Sonic Healthcare Ltd,,,,,,,,,,,,,,,www.sonicautomotive.com,www.sonichealthcare.com
13749,13749,9988,Kingsrose Mining Limited,Kingston Resources Limited,,,,,,,,,,,,,,,https://disfold.com/company/kingsrose-mining-limited/,https://disfold.com/company/kingston-resources-limited/
13758,13758,11099,Asarina Pharma AB,Ascelia Pharma AB,,,,,,,,,,,,,,,https://disfold.com/company/asarina-pharma-ab/,https://disfold.com/company/ascelia-pharma-ab/
13819,13819,7333,Kenshoo Careers,Kentigen,,,,,,,,,,,,,,,www.kenshoo.com,https://www.kentigen.com/
13842,13842,9564,Ata Gayrimenkul Yatirim Ortakligi A.S.,Atakule Gayrimenkul Yatirim Ortakligi A.S.,,,,,,,,,,,,,,,https://disfold.com/company/ata-gayrimenkul-yatirim-ortakligi-as/,https://disfold.com/company/atakule-gayrimenkul-yatirim-ortakligi-as/
13858,13858,12385,Hurricane Energy plc,"Husky Energy, Inc.",,,,,,,,,,,,,,,https://disfold.com/company/hurricane-energy-plc/,https://disfold.com/company/husky-energy-inc/
13866,13866,10816,Public Joint Stock Company Magadanenergo,Public Joint Stock Company Magnitogorsk Iron & Steel Works,,,,,,,,,,,,,,,https://disfold.com/company/public-joint-stock-company-magadanenergo/,https://disfold.com/company/public-joint-stock-company-magnitogorsk-iron-steel-works/
13868,13868,8572,OPKO Health Inc,OPS Careers,,,,,,,,,,,,,,,www.opko.com,www.opstrax.com
13902,13902,8384,Critical Mass Careers,Critical Start Careers,,,,,,,,,,,,,,,www.criticalmass.com,www.criticalstart.com
13917,13917,11634,Metaminds,Metcash Ltd,,,,,,,,,,,,,,,https://www.metaminds.com/,www.metcash.com
13931,13931,3021,Vale SA,Valeo SA,,,,,,,,,,,,,,,https://disfold.com/company/vale-sa/,https://disfold.com/company/valeo-sa/
13942,13942,13045,"American Manganese, Inc.","American National Group, Inc.",,,,,,,,,,,,,,,https://disfold.com/company/american-manganese-inc/,https://disfold.com/company/american-national-group-inc/
13999,13999,7316,Trex Company Inc,Tri Chemical Laboratories,,,,,,,,,,,,,,,www.trex.com,http://www.trichemical.com/
14011,14011,2994,H World Group Ltd,H&M Careers,,,,,,,,,,,,,,,ir.hworld.com,www.hm.com
14028,14028,13664,Monolithic Power Systems Inc,MonotaRO Co Ltd,,,,,,,,,,,,,,,www.monolithicpower.com,www.monotaro.com
14067,14067,1040,Hibbett Sports Inc,Hicmobile,,,,,,,,,,,,,,,www.hibbett.com,https://www.hicmobile.com
14079,14079,13607,Ems-Chemie Holding AG,Emtrain Careers,,,,,,,,,,,,,,,www.ems-group.com,www.emtrain.com
14085,14085,9918,Genesco Inc,Genesis Energy LP,,,,,,,,,,,,,,,www.genesco.com,www.genesisenergy.com
14107,14107,1105,Tesha Corporation,Tesla Inc,,,,,,,,,,,,,,,https://www.teshagroup.com/,www.tesla.com
14110,14110,554,Sika,Sika Interplant Systems,,,,,,,,,,,,,,,http://www.sikaglobal.com/,https://www.sikaglobal.com/
14115,14115,9666,Tubi TV Careers,Tucows Careers,,,,,,,,,,,,,,,www.tubitv.com,www.tucows.com
14121,14121,2920,Marathon Petroleum Careers,Marathon Petroleum Corporation,,,,,,,,,,,,,,,www.marathonpetroleum.com,https://disfold.com/company/marathon-petroleum-corporation/
14127,14127,184,Groupe Open,Groupe Parot SACA,,,,,,,,,,,,,,,https://disfold.com/company/groupe-open/,https://disfold.com/company/groupe-parot-saca/
14166,14166,9236,Cornerstone Careers,Corning Inc,,,,,,,,,,,,,,,www.cornerstoneondemand.com,www.corning.com
14168,14168,12539,Computer Direct Group Ltd,Computers Parts,,,,,,,,,,,,,,,https://disfold.com/company/computer-direct-group-ltd/,https://www.computersparts.it
14171,14171,91,Heng Hup Holdings Ltd,Hengdeli Holdings Ltd,,,,,,,,,,,,,,,https://disfold.com/company/heng-hup-holdings-ltd/,https://disfold.com/company/hengdeli-holdings-ltd/
14187,14187,4723,UNIQA Insurance Group AG,UNO Minda Ltd,,,,,,,,,,,,,,,www.uniqagroup.com,unominda.com
14239,14239,11211,Beijing Gehua CATV Network Co. Ltd,Beijing Haohua Energy Resource Co. Ltd,,,,,,,,,,,,,,,https://disfold.com/company/beijing-gehua-catv-network-co-ltd/,https://disfold.com/company/beijing-haohua-energy-resource-co-ltd/
14244,14244,11151,Clean Industry Solutions Holding Europe AB,Clean Motion AB,,,,,,,,,,,,,,,https://disfold.com/company/clean-industry-solutions-holding-europe-ab/,https://disfold.com/company/clean-motion-ab/
14247,14247,2942,Healthgrades Careers,Healthians,,,,,,,,,,,,,,,www.healthgrades.com,https://www.healthians.com/
14268,14268,4142,The Wharf (Holdings) Ltd,The Williams Companies Inc,,,,,,,,,,,,,,,www.wharfholdings.com,www.williams.com
