id,left_row_index,right_row_index,left_name_company,right_name_company,left_industryname,right_industryname,left_sector,right_sector,left_address,right_address,left_city,right_city,left_state,right_state,left_country,right_country,left_continent,right_continent,left_other,right_other
50471,50471,31584,Universal Music Group Careers,Universal Music Group,,,,,,,,,,,,,,,,
50480,50480,13018,Teleflex Incorporated,Teleflex Inc,,,,,,,,,,,,,,,,
50481,50481,31348,Systena Corporation,Systena Corp,,,,,,,,,,,,,,,,
50497,50497,6332,Valor Holdings Co Ltd,Valor Holdings,,,,,,,,,,,,,,,,
50504,50504,18368,Fundo de Investimento Imobiliario - FII Vila Olimpia Corporate,Fundo de Investimento Imobiliario - FII Shopping Jardim Sul,,,,,,,,,,,,,,,,
50508,50508,10175,"Steel Dynamics, Inc.",Steel Dynamics Inc,,,,,,,,,,,,,,,,
50509,50509,9707,Walmart Inc,Walmart,,,,,,,,,,,,,,,,
50510,50510,21104,K & M INVESTMENTS AND FINANCES.EGYPT LTD,K & M INVESTMENTS AND FINANCES LTD.,,,,,,,,,,,,,,,,
50517,50517,9577,California Resources Corporation,California Resources Corp,,,,,,,,,,,,,,,,
50520,50520,6267,"CBRE Group, Inc.",CBRE Group Inc,,,,,,,,,,,,,,,,
50525,50525,3411,Robertet Sa,Robertet SA,,,,,,,,,,,,,,,,
50526,50526,4512,NetApp Inc,NetApp,,,,,,,,,,,,,,,,
50535,50535,5354,T & A DEVELOPMENTS 2019 LIMITED,T & A DEVELOPMENTS,,,,,,,,,,,,,,,,
50539,50539,17828,Iida Group Holdings Co. Ltd,Iida Group Holdings Co Ltd,,,,,,,,,,,,,,,,
50560,50560,26155,GomSpace Group AB,GomSpace Group,,,,,,,,,,,,,,,,
50561,50561,15798,Cnh Industrial Italia Spa,Cnh Industrial,,,,,,,,,,,,,,,,
50577,50577,47054,Shede Spirits Co. Ltd,Shede Spirits,,,,,,,,,,,,,,,,
50585,50585,2186,Impax Asset Management Group plc,Impax Asset Management Group,,,,,,,,,,,,,,,,
50589,50589,48798,Shanghai Jinqiao Export Processing Zone Development Co. Ltd,Shanghai Jinqiao Export Processing Zone Development,,,,,,,,,,,,,,,,
50599,50599,1878,V & J PROPERTY LTD,V & J PROPERTIES LIMITED,,,,,,,,,,,,,,,,
50602,50602,23886,Trip.com Group Limited,Trip.com Group,,,,,,,,,,,,,,,,
50603,50603,37270,Keisei Electric Railway Co Ltd,Keisei Electric Railway,,,,,,,,,,,,,,,,
50606,50606,4628,"MULESOFT, LLC","MULESOFT, INC.",,,,,,,,,,,,,,,,
50608,50608,31161,"Beijing-shanghai High-speed Railway Co.,ltd.","Beijing-Shanghai High-Speed Railway Co.,Ltd.",,,,,,,,,,,,,,,,
50609,50609,686,Horace Mann Educators Corporation,Horace Mann Educators Corp,,,,,,,,,,,,,,,,
50611,50611,13462,Colgate-Palmolive Company,Colgate-Palmolive Co,,,,,,,,,,,,,,,,
50618,50618,25722,GOOD DATA SOLUTIONS LTD,GOOD DATA PRODUCTION LTD,,,,,,,,,,,,,,,,
50623,50623,2391,Littelfuse Inc,Littelfuse,,,,,,,,,,,,,,,,
50645,50645,7421,Hangzhou Great Star Industrial Co Ltd,Hangzhou Great Star Industrial,,,,,,,,,,,,,,,,
50657,50657,28410,Par Pacific Holdings Inc,Par Pacific Holdings,,,,,,,,,,,,,,,,
50668,50668,6630,Hapag-Lloyd AG,Hapag-Lloyd,,,,,,,,,,,,,,,,
50678,50678,12139,Air Liquide SA,Air Liquide,,,,,,,,,,,,,,,,
50703,50703,36353,Standard Chartered Bank,Standard Chartered,,,,,,,,,,,,,,,,
50715,50715,1132,Amkor Technology Inc,Amkor Technology,,,,,,,,,,,,,,,,
50731,50731,45631,Nanjing Securities Co. Ltd,Nanjing Securities,,,,,,,,,,,,,,,,
50734,50734,4028,Financial Street Holdings Co Ltd,Financial Street Holdings,,,,,,,,,,,,,,,,
50736,50736,37736,"Plains All American Pipeline, L.P.",Plains All American Pipeline LP,,,,,,,,,,,,,,,,
50737,50737,37884,StoneX Group Inc,StoneX Group,,,,,,,,,,,,,,,,
50763,50763,43852,Inner Mongolia Baotou Steel Union Co. Ltd,Inner Mongolia Baotou Steel,,,,,,,,,,,,,,,,
50776,50776,31940,Nu Holdings Ltd.,Nu Holdings,,,,,,,,,,,,,,,,
50790,50790,3381,Aareal Bank AG,Aareal Bank,,,,,,,,,,,,,,,,
50792,50792,35957,"Young & Co.'s Brewery, plc",Young & Co's Brewery,,,,,,,,,,,,,,,,
50804,50804,45038,Seazen Group Ltd,Seazen Group,,,,,,,,,,,,,,,,
50817,50817,17191,R.R. Donnelley Careers,R.R. Donnelley,,,,,,,,,,,,,,,,
50818,50818,22621,BYD Electronic International Co Ltd,BYD Electronic (International) Co Ltd,,,,,,,,,,,,,,,,
50825,50825,22814,Towngas China Company Ltd,Towngas China Company,,,,,,,,,,,,,,,,
50828,50828,40125,Kkr & Co.,Kkr & Co,,,,,,,,,,,,,,,,
50841,50841,7538,Shenzhen Everwin Precision Technology Co Ltd,Shenzhen Everwin Precision Technology,,,,,,,,,,,,,,,,
50860,50860,42458,Crescent Point Energy Corp.,Crescent Point Energy Corp,,,,,,,,,,,,,,,,
50897,50897,3688,Dow Inc.,Dow Inc,,,,,,,,,,,,,,,,
50902,50902,36253,Kimberly-Clark Corporation,Kimberly-Clark Corp,,,,,,,,,,,,,,,,
50907,50907,17097,"Mattel, Inc.",Mattel Inc,,,,,,,,,,,,,,,,
50911,50911,23867,Singapore O&G Ltd,Singapore O&G,,,,,,,,,,,,,,,,
50920,50920,44306,Brookfield Renewable Corporation,Brookfield Renewable,,,,,,,,,,,,,,,,
50921,50921,50821,GOOD CHANCE THEATRE,GOOD CHANCE LTD,,,,,,,,,,,,,,,,
50931,50931,47239,Guanghui Energy Co. Ltd,Guanghui Energy,,,,,,,,,,,,,,,,
50938,50938,29753,Grupa Kety SA,Grupa Kety S.a.,,,,,,,,,,,,,,,,
50942,50942,28710,United States Cellular Corporation,United States Cellular Corp,,,,,,,,,,,,,,,,
50953,50953,36561,Public Joint Stock Company TNS Energo Yaroslavl,Public Joint Stock Company Saratovenergo,,,,,,,,,,,,,,,,
50963,50963,84,Seaboard Corporation,Seaboard Corp,,,,,,,,,,,,,,,,
50964,50964,25601,Proximus Group,Proximus,,,,,,,,,,,,,,,,
50974,50974,26151,Datang International Power Generation Co. Ltd,Datang International Power Generation Co Ltd,,,,,,,,,,,,,,,,
50975,50975,27537,SOFTWARE COMPLIANCE PROPERTIES LTD,SOFTWARE COMPLIANCE LIMITED,,,,,,,,,,,,,,,,
50980,50980,25711,First Majestic Silver Corp.,First Majestic Silver,,,,,,,,,,,,,,,,
50992,50992,31820,News Corporation,News Corp,,,,,,,,,,,,,,,,
51013,51013,49125,Nihon Unisys Ltd,Nihon Unisys,,,,,,,,,,,,,,,,
51026,51026,31274,BEAUTY BOMBSHELL LIMITED,BEAUTY BOMB LTD,,,,,,,,,,,,,,,,
51039,51039,20498,Keysight Technologies Inc,Keysight Technologies Careers,,,,,,,,,,,,,,,,
51046,51046,40972,Hokkaido Electric Power Company,Hokkaido Electric Power Co Inc,,,,,,,,,,,,,,,,
51050,51050,35868,"Kintetsu World Express, Inc.",Kintetsu World Express Inc,,,,,,,,,,,,,,,,
51053,51053,38370,"Black Knight, Inc.",Black Knight Inc,,,,,,,,,,,,,,,,
51054,51054,22420,ALL ABOUT THE FACE LTD,ALL ABOUT THE FACE ESSEX LTD,,,,,,,,,,,,,,,,
51087,51087,48853,CD Projekt SA,CD Projekt,,,,,,,,,,,,,,,,
51089,51089,31722,Raiffeisen Bank International AG,Raiffeisen Bank International,,,,,,,,,,,,,,,,
51094,51094,10260,Greentown China Holdings Ltd,Greentown China Holdings,,,,,,,,,,,,,,,,
51110,51110,40630,Jay Mart Public Company Ltd,Jay Mart Public Company,,,,,,,,,,,,,,,,
51115,51115,1952,Nasdaq Inc,Nasdaq,,,,,,,,,,,,,,,,
51118,51118,50635,"Amvis Holdings, Inc.",Amvis Holdings,,,,,,,,,,,,,,,,
51120,51120,1170,Solvay SA,Solvay S.A.,,,,,,,,,,,,,,,,
51138,51138,12246,"China Industrial Securities Co.,Ltd.",China Industrial Securities,,,,,,,,,,,,,,,,
51162,51162,26487,Dohome Public Company Ltd,Dohome Public Company Limited,,,,,,,,,,,,,,,,
51171,51171,38875,"Becton, Dickinson and Company",Becton Dickinson and Co,,,,,,,,,,,,,,,,
51208,51208,45966,Jiangsu Broadcasting Cable Information Network Corporation,Jiangsu Broadcasting Cable Information Network Corp Ltd,,,,,,,,,,,,,,,,
51212,51212,23039,Finning International Inc,Finning International,,,,,,,,,,,,,,,,
51219,51219,26932,P & A MAINTENANCE SERVICES LTD,P & A MAINTENANCE LTD,,,,,,,,,,,,,,,,
51222,51222,34807,Weller Media Agency (WMA),Weller Media Agency,,,,,,,,,,,,,,,,
51230,51230,44833,"The Williams Companies, Inc.",The Williams Companies Inc,,,,,,,,,,,,,,,,
51231,51231,22202,United Airlines Holdings Inc,United Airlines Holdings,,,,,,,,,,,,,,,,
51236,51236,16617,Hankook Tire & Technology Co. Ltd,Hankook Tire & Technology Co Ltd,,,,,,,,,,,,,,,,
51247,51247,27730,Babcock International Group plc,Babcock International Group Plc,,,,,,,,,,,,,,,,
51266,51266,31312,ALL ABOUT EVENTS MANAGEMENT LIMITED,ALL ABOUT EVENTS LIMITED,,,,,,,,,,,,,,,,
51292,51292,14340,China Oriental Group Company Ltd,China Oriental Group Company Limited,,,,,,,,,,,,,,,,
51293,51293,5828,Verkkokauppa.com Oyj,Verkkokauppa.com,,,,,,,,,,,,,,,,
51310,51310,50150,"China-singapore Suzhou Industrial Park Development Group Co., Ltd.",China-Singapore Suzhou Industrial Park Development Group Co. Ltd,,,,,,,,,,,,,,,,
51314,51314,38952,Taiwan High Speed Rail Corporation,Taiwan High Speed Rail Corp,,,,,,,,,,,,,,,,
51324,51324,31758,SOFTWARE ACQUISITIONS LTD,SOFTWARE ACQUISITIONS & LICENSING LIMITED,,,,,,,,,,,,,,,,
51338,51338,48312,Siemens Healthineers AG,Siemens Healthineers,,,,,,,,,,,,,,,,
51340,51340,50693,Land and Houses Public Company Ltd,Land and Houses Public Co Ltd,,,,,,,,,,,,,,,,
51342,51342,40548,Faurecia S.e,Faurecia,,,,,,,,,,,,,,,,
51353,51353,3735,Discovery Ltd,Discovery Limited,,,,,,,,,,,,,,,,
51374,51374,10609,Dai-ichi Life Holdings Inc,Dai-ichi Life Holdings,,,,,,,,,,,,,,,,
